open,high,low,Volume BTC,Volume USD,price mean,upper shadow,lower shadow,spread,trade,10 period SMA,50 period SMA,100 period SMA,12EMA,26EMA,MACD,buy/sell
3398.8,3633.2,3371.09,8011.02295177,28276908.26401016,3483.21,103.44999999999982,27.71000000000004,262.1099999999997,130.94999999999982,3739.4540000000006,5278.4326,5902.0575,3770.752237890399,4285.087569209105,-514.3353313187058,1
46039.42,46895.82,43400.0,2308.42207379,103819759.21013656,45327.395,856.4000000000015,1574.3399999999965,3495.82,-1065.0800000000015,47485.559,45608.652,39971.6814,46881.45933452971,46911.44058726019,-29.981252730482083,0
44893.7,45159.9,40693.27,4348.92828394,186345053.5744031,43398.8425,266.2000000000044,2155.230000000003,4466.630000000005,-2045.199999999997,45376.281,46858.3136,40901.675500000005,44963.37654767197,45865.8689143068,-902.492366634826,0
436.08,442.97,422.03,4885667.86,11227.18,434.22,6.890000000000043,13.77000000000004,20.94000000000005,-0.2799999999999727,410.138,354.8918,299.2706,408.1894687438012,382.01001186208657,26.179456881714657,0
4101.6,4119.7,3848.35,60296939.36,15251.89,3989.6125,18.09999999999945,40.45000000000027,271.3499999999999,-212.80000000000015,3873.155,3984.0694,3258.5952999999995,3954.139444770888,4042.0352405127246,-87.89579574183699,0
37585.12,39490.0,37176.06,4058.94293164,159191254.705769,38367.765,270.1200000000026,409.06000000000495,2313.9400000000023,1634.7599999999948,37305.696,48763.8178,52016.4534,38212.54193316659,41732.02719802404,-3519.4852648574524,1
276.8,276.8,276.8,0.0,0.0,276.8,0.0,0.0,0.0,0.0,295.982,0.0,0.0,295.4057156876482,313.6540359908257,-18.248320303177536,0
9287.89,9798.76,9267.2,6615.64540882,64060088.37105312,9509.2425,115.63999999999942,20.68999999999869,531.5599999999995,395.2300000000014,9423.09,9418.56,8178.7428,9462.875479924802,9439.911664944984,22.96381497981747,1
892.61,894.97,859.0,3478222.78,3974.2,884.5625,2.3600000000000136,32.66999999999996,35.97000000000003,-0.9400000000000546,833.644,759.9224,698.289,838.5629793002734,802.3291007570448,36.23387854322857,0
8710.12,8984.16,8630.0,8919.92378955,79419076.65568578,8806.96,80.60000000000036,80.1200000000008,354.15999999999985,193.4399999999987,9312.106,8272.6888,7926.433000000001,9167.103591532908,8970.278219065616,196.82537246729223,1
608.23,614.28,608.23,892286.51,1459.26,610.685,2.2799999999999727,0.0,6.0499999999999545,3.769999999999982,603.181,592.9204,616.5061000000001,605.0517101560027,602.759614275623,2.2920958803797475,1
4300.34,4449.98,4270.0,42239588.77,9691.7,4344.075,94.0,30.340000000000146,179.97999999999956,55.63999999999942,4175.053000000001,3107.9596,2795.0563,4084.91962168097,3751.185175633994,333.73444604697625,1
3851.26,3891.04,3826.13,7964.50825371,30716241.11158813,3856.2675,34.40000000000009,25.13000000000011,64.90999999999985,5.379999999999654,3804.284,3642.2956,3684.3747,3811.366713353654,3764.0633834169857,47.30332993666843,1
1130.01,1193.92,1120.73,13556658.98,11752.03,1158.1925,5.810000000000173,9.279999999999973,73.19000000000005,58.09999999999991,1074.614,960.1136,887.7388000000001,1080.8908525756185,1033.644884102778,47.24596847284033,1
8917.34,8921.8,8660.04,4629.97228611,40537490.852421805,8813.657500000001,4.459999999999127,95.40999999999984,261.7599999999984,-161.88999999999942,8995.237000000001,9292.9654,8342.568200000002,9031.968537945631,9240.093181806911,-208.12464386127797,0
387.28,391.14,376.0,3050025.47,7962.09,384.3175,3.8600000000000136,6.850000000000023,15.139999999999986,-4.42999999999995,424.762,423.9436,369.323,416.6507849207777,423.7909662076424,-7.140181286864674,0
47024.96,48075.22,45654.14,2410.15099528,110699464.390218,46671.2075,1050.260000000002,276.3700000000026,2421.0800000000017,-1094.449999999997,45829.737,37446.4734,38270.889,44892.97073213885,42066.4648714957,2826.5058606431485,0
5064.0,5185.26,5012.73,3443.44728316,17777554.157715797,5106.1775,22.539999999999964,51.27000000000044,172.53000000000063,98.72000000000024,5141.882,4218.4606,3925.1834,4996.923401843473,4689.446780635092,307.4766212083805,1
11916.83,12473.0,11771.44,9778.32856833,120257600.4981783,12114.9125,174.6200000000008,145.38999999999942,701.5599999999995,381.5499999999993,11795.067,10285.1954,9842.0174,11739.679649685657,11255.675267631488,484.00438205416685,1
55094.73,56500.0,53811.49,4542.50992013,249392743.35967967,55077.0475,1405.2699999999968,1090.4800000000032,2688.510000000002,-192.76000000000204,53217.872,56985.1864,50292.3179,54452.47118327486,55678.33486197855,-1225.8636787036885,0
9319.1,9448.19,9254.68,4670.23465673,43642315.415517375,9341.6875,103.40999999999984,64.42000000000007,193.51000000000025,25.68000000000029,9279.127,8673.8486,9585.9657,9137.121572317092,8899.385558519547,237.73601379754476,1
377.98,383.0,377.07,2177591.75,5714.98,380.2325,0.1200000000000045,0.910000000000025,5.930000000000007,4.899999999999977,377.824,405.413,393.5118,379.0202536621238,386.0214469602424,-7.001193298118608,1
408.36,412.0,406.6,1047500.89,2555.36,409.575,0.660000000000025,1.759999999999991,5.399999999999977,2.9799999999999613,413.442,406.783,415.43840000000006,413.2624901413208,413.6318311770429,-0.3693410357220728,1
10191.87,11080.37,9855.0,16048.02718406,174121094.947051,10494.31,230.3700000000008,336.8700000000008,1225.3700000000008,658.1299999999992,11524.109,9912.139,8038.5327,11280.02977122652,10948.1269780872,331.90279313931933,1
39157.52,39792.83,37639.0,3279.64493738,125207234.34950188,38691.605,635.310000000005,538.0699999999997,2153.8300000000017,-980.4499999999972,39317.53999999999,34902.8308,39759.9274,38229.08411593792,36550.06296208561,1679.0211538523072,0
